VID,AdvNet,AnonPaymnt,AttSpam,ChildPriv,IPResell,DirMark,Card#Stolen,Unlisted#Phone,ConcerSec,ConcerSecEcom,InfImprovSite,IntPrivLaws,IntShop#LifeEasy,MassMails,AssumeAliases,SpamPolicy,PrivCom,SecAFactor,UseDemoOther,UserContDemo,ValueAnon,Important,Will#Charge
11,ASOME,ASOME,Delete,NEITHER,DSOME,DSTRON,No,No,Alittle,Alittle,ASTRON,ASOME,No,DSTRON,ASTRON,GovControl,ASTRON,Significant,DSTRON,DSOME,ASOME,Privacy,Yes
12,ASOME,ASOME,Delete,ASTRON,DSOME,ASOME,No,No,Very,Very,ASTRON,ASOME,Yes,NEITHER,DSTRON,?,ASTRON,Significant,ASOME,ASOME,ASTRON,Privacy,Yes
13,DSOME,NEITHER,Delete,ASOME,ASOME,DSOME,No,No,Alittle,NotAtAll,ASTRON,ASTRON,Yes,DSTRON,NEITHER,Registry,ASTRON,Deciding,ASOME,DSOME,ASOME,Convenience,Yes
14,DSOME,ASOME,Read,ASTRON,DSTRON,DSOME,Yes,Yes,Very,Very,NEITHER,ASTRON,No,DSTRON,DSTRON,?,ASOME,Deciding,DSOME,ASOME,NEITHER,Privacy,No
15,DSTRON,ASTRON,Delete,ASOME,DSTRON,DSTRON,No,Yes,Very,Very,ASOME,ASTRON,Yes,DSTRON,ASOME,Registry,ASTRON,Deciding,DSTRON,ASTRON,ASOME,Privacy,No
16,ASOME,?,Delete,ASTRON,DSTRON,ASOME,No,No,Somewhat,ShouldButNo,ASOME,ASTRON,Yes,DSOME,?,GovControl,NEITHER,Significant,DSTRON,?,?,Privacy,Yes
17,DSTRON,DSTRON,Delete,ASOME,DSOME,DSTRON,Yes,No,Somewhat,Alittle,DSTRON,ASTRON,Yes,DSTRON,NEITHER,Blacklist,ASOME,Significant,DSTRON,ASTRON,ASOME,Privacy,Yes
18,DSTRON,ASOME,Reply,ASTRON,DSTRON,DSTRON,No,Yes,Very,Very,ASOME,ASOME,Yes,DSTRON,ASOME,Registry,ASTRON,Significant,DSTRON,ASTRON,ASTRON,Convenience,Yes
19,DSOME,ASOME,Delete,DSOME,DSTRON,DSOME,No,No,Very,Very,DSTRON,ASTRON,Yes,DSTRON,ASOME,GovControl,ASTRON,Significant,DSTRON,DSTRON,ASOME,Privacy,Yes
20,ASOME,ASOME,Delete,NEITHER,NEITHER,DSOME,No,No,ShouldButNo,NotAtAll,ASOME,ASTRON,Yes,DSTRON,ASTRON,Nothing,ASTRON,Small,DSOME,ASTRON,ASTRON,Privacy,No
21,DSOME,?,Delete,ASTRON,DSTRON,DSOME,No,No,Somewhat,Somewhat,ASOME,ASOME,Yes,DSOME,ASOME,Fee,ASTRON,Significant,DSTRON,ASTRON,ASTRON,Privacy,No
22,DSTRON,?,Delete,ASTRON,DSTRON,DSTRON,No,Yes,Very,Very,DSTRON,ASTRON,Yes,DSTRON,ASTRON,Registry,ASTRON,Deciding,DSTRON,ASTRON,ASTRON,Privacy,Yes
23,DSTRON,ASTRON,?,ASOME,DSTRON,DSTRON,No,No,Very,Very,DSTRON,ASTRON,Yes,DSTRON,ASOME,Blacklist,ASTRON,Deciding,DSTRON,ASTRON,ASTRON,Privacy,No
24,NEITHER,?,Delete,ASOME,DSTRON,NEITHER,Yes,No,Alittle,Alittle,ASOME,ASTRON,Yes,DSOME,?,Blacklist,ASTRON,None,DSTRON,ASTRON,ASTRON,Privacy,Yes
25,DSOME,ASTRON,Delete,ASOME,DSOME,DSOME,No,No,Very,Very,ASOME,ASOME,Yes,DSTRON,ASOME,Blacklist,ASTRON,Deciding,DSOME,ASTRON,ASOME,Privacy,Yes
26,DSTRON,ASTRON,Delete,ASTRON,DSOME,DSTRON,No,No,Somewhat,Somewhat,ASTRON,DSTRON,Yes,DSTRON,ASTRON,Blacklist,ASTRON,Significant,DSTRON,ASOME,ASTRON,Privacy,Yes
27,DSOME,ASTRON,Read,DSTRON,DSOME,ASOME,No,No,Very,Very,ASTRON,DSTRON,Yes,ASOME,ASTRON,Nothing,ASTRON,Significant,DSOME,ASTRON,ASTRON,Convenience,No
28,DSTRON,ASOME,Delete,ASTRON,DSTRON,DSTRON,Yes,No,Very,Very,DSOME,ASOME,No,DSTRON,NEITHER,Registry,ASTRON,Deciding,DSTRON,ASTRON,ASTRON,Privacy,No
29,DSTRON,NEITHER,Delete,DSTRON,DSTRON,DSTRON,No,No,Alittle,Somewhat,ASTRON,DSTRON,Yes,DSTRON,DSOME,Blacklist,ASTRON,Significant,DSTRON,ASTRON,ASOME,Privacy,Yes
30,DSTRON,NEITHER,Delete,ASTRON,DSTRON,DSTRON,Yes,Yes,Very,Very,ASOME,ASOME,Yes,DSTRON,ASOME,Registry,ASTRON,Deciding,DSTRON,ASOME,ASTRON,Privacy,Yes
31,DSTRON,?,?,ASTRON,DSTRON,DSTRON,No,Yes,Very,Very,DSOME,ASTRON,Yes,DSTRON,DSTRON,Registry,ASTRON,Deciding,DSTRON,NEITHER,DSTRON,Privacy,Yes
32,DSTRON,ASTRON,Delete,ASTRON,DSTRON,DSTRON,No,No,Somewhat,Very,ASOME,ASOME,Yes,DSTRON,ASOME,Blacklist,ASTRON,Significant,DSOME,ASTRON,ASTRON,Privacy,No
33,DSOME,NEITHER,Delete,ASOME,DSOME,NEITHER,No,No,Alittle,Somewhat,ASOME,ASOME,Yes,DSOME,ASOME,Blacklist,ASTRON,Small,DSOME,ASOME,ASOME,Privacy,Yes
34,DSTRON,ASTRON,Delete,NEITHER,DSTRON,DSTRON,No,No,Very,Very,ASOME,ASOME,Yes,DSTRON,NEITHER,GovControl,ASTRON,Deciding,DSTRON,ASTRON,ASTRON,Privacy,Yes
35,DSTRON,ASTRON,Reply,DSTRON,DSTRON,DSTRON,No,Yes,Very,Very,DSOME,ASTRON,Yes,DSTRON,DSTRON,Other,ASTRON,Deciding,DSTRON,ASTRON,ASTRON,Privacy,No
36,DSTRON,ASTRON,Delete,ASTRON,DSTRON,DSTRON,No,Yes,Very,Very,NEITHER,DSTRON,Yes,DSTRON,ASOME,Registry,ASTRON,Deciding,DSTRON,ASTRON,ASTRON,Privacy,Yes
37,DSTRON,NEITHER,Read,ASOME,DSTRON,DSOME,No,No,Very,Very,ASOME,ASTRON,Yes,DSOME,ASOME,Nothing,ASTRON,Deciding,ASOME,ASTRON,ASTRON,Privacy,Yes
38,DSTRON,ASOME,Delete,ASOME,DSTRON,ASOME,No,No,Somewhat,Somewhat,DSOME,ASOME,Yes,DSTRON,DSOME,Registry,ASTRON,Significant,DSOME,ASTRON,ASTRON,Privacy,Yes
39,DSTRON,ASTRON,Delete,ASTRON,DSTRON,DSTRON,No,Yes,Somewhat,Somewhat,DSTRON,ASOME,Yes,DSTRON,DSTRON,Registry,ASTRON,Deciding,DSTRON,ASTRON,ASTRON,Privacy,Yes
40,DSTRON,ASOME,Delete,DSOME,DSTRON,DSTRON,No,No,Very,Very,DSOME,ASTRON,No,DSTRON,?,?,ASTRON,Deciding,DSTRON,ASTRON,?,Privacy,No
41,DSTRON,NEITHER,Delete,DSOME,DSTRON,NEITHER,No,No,Alittle,Somewhat,DSOME,DSTRON,Yes,NEITHER,ASOME,Nothing,ASTRON,Small,DSTRON,ASTRON,NEITHER,Privacy,Yes
42,DSOME,ASOME,Delete,DSTRON,NEITHER,ASOME,No,No,Very,Very,ASOME,ASOME,No,NEITHER,ASOME,Registry,ASTRON,Significant,NEITHER,ASTRON,ASTRON,Privacy,No
43,DSTRON,ASTRON,Reply,ASOME,NEITHER,DSOME,No,Yes,Very,Very,ASOME,ASOME,Yes,DSTRON,ASOME,Nothing,ASTRON,Deciding,ASTRON,ASTRON,ASTRON,Privacy,Yes
44,DSTRON,DSOME,Delete,ASOME,DSTRON,DSTRON,Yes,No,Somewhat,Very,ASOME,ASTRON,No,DSTRON,ASTRON,Fee,ASTRON,Deciding,DSTRON,ASTRON,ASTRON,Privacy,No
45,DSTRON,ASOME,Delete,ASOME,ASTRON,DSOME,No,No,Alittle,Alittle,ASOME,ASOME,Yes,DSOME,ASTRON,Blacklist,ASTRON,Significant,ASTRON,ASTRON,ASTRON,Privacy,Yes
46,DSTRON,?,?,NEITHER,ASOME,NEITHER,No,No,Somewhat,Alittle,ASOME,ASTRON,Yes,NEITHER,ASTRON,Other,ASTRON,Small,ASOME,ASTRON,ASTRON,Privacy,Yes
47,DSOME,NEITHER,Delete,ASTRON,DSTRON,ASOME,No,No,Very,Very,ASOME,ASTRON,No,DSOME,NEITHER,Registry,ASTRON,Significant,DSOME,ASTRON,ASOME,Convenience,No
48,DSOME,ASTRON,Reply,NEITHER,DSTRON,DSOME,No,No,Somewhat,Somewhat,ASOME,ASTRON,Yes,DSTRON,ASTRON,Blacklist,ASTRON,Significant,DSTRON,ASTRON,ASTRON,Convenience,Yes
49,DSTRON,ASTRON,Delete,DSTRON,DSTRON,DSTRON,No,Yes,Very,Very,DSTRON,ASTRON,Yes,DSTRON,ASTRON,Fee,ASTRON,Significant,DSTRON,ASTRON,ASTRON,Privacy,Yes
50,DSTRON,DSTRON,Delete,DSTRON,DSTRON,DSTRON,No,No,Very,Very,NEITHER,ASOME,No,DSTRON,ASOME,Registry,ASTRON,Significant,DSTRON,ASTRON,ASTRON,Privacy,Yes
51,DSTRON,ASTRON,Delete,NEITHER,DSTRON,DSOME,No,No,Somewhat,Somewhat,NEITHER,DSOME,Yes,DSTRON,ASTRON,Blacklist,ASOME,Small,DSOME,ASTRON,ASTRON,Privacy,Yes
52,DSTRON,NEITHER,Delete,ASTRON,DSTRON,NEITHER,No,No,Very,Very,NEITHER,NEITHER,Yes,NEITHER,NEITHER,Nothing,ASTRON,Deciding,DSTRON,ASTRON,ASTRON,Privacy,Yes
53,DSTRON,ASOME,Delete,NEITHER,DSOME,DSTRON,No,No,Somewhat,Somewhat,ASOME,ASOME,Yes,DSTRON,ASTRON,Other,ASTRON,Significant,DSOME,ASTRON,ASTRON,Privacy,Yes
54,DSTRON,?,Read,ASTRON,DSTRON,?,No,No,Somewhat,Very,ASOME,ASTRON,No,DSTRON,DSOME,Fee,ASTRON,Deciding,DSTRON,ASTRON,ASOME,Privacy,No
55,DSTRON,NEITHER,Other,DSTRON,DSTRON,DSTRON,No,No,Very,Very,ASTRON,ASTRON,Yes,DSTRON,ASTRON,GovControl,ASTRON,Significant,DSTRON,ASTRON,ASTRON,Privacy,Yes
56,NEITHER,ASTRON,?,ASTRON,DSOME,DSTRON,Yes,No,Very,Somewhat,ASTRON,ASTRON,Yes,DSTRON,ASOME,Blacklist,ASTRON,Significant,DSOME,ASTRON,ASTRON,Privacy,Yes
57,NEITHER,NEITHER,?,ASTRON,NEITHER,DSTRON,No,No,Somewhat,Very,ASOME,DSTRON,Yes,DSTRON,NEITHER,Other,NEITHER,Small,DSOME,NEITHER,ASTRON,Convenience,Yes
58,DSTRON,ASOME,Delete,ASTRON,DSTRON,DSTRON,Yes,Yes,Somewhat,Somewhat,NEITHER,?,Yes,DSTRON,ASTRON,Blacklist,ASTRON,Significant,DSTRON,ASTRON,ASTRON,Convenience,Yes
59,DSTRON,ASTRON,Delete,ASOME,DSTRON,DSOME,No,No,Very,Very,NEITHER,ASTRON,Yes,DSTRON,ASTRON,Blacklist,ASTRON,Deciding,DSTRON,ASTRON,ASTRON,Privacy,Yes
60,ASOME,ASTRON,Delete,ASTRON,DSTRON,NEITHER,No,No,Very,Very,ASOME,ASOME,Yes,DSTRON,NEITHER,Blacklist,NEITHER,Small,DSTRON,NEITHER,ASTRON,Privacy,No
61,DSTRON,ASTRON,Delete,ASOME,DSOME,DSTRON,No,No,Somewhat,Very,NEITHER,ASOME,No,DSTRON,ASTRON,Fee,ASTRON,Significant,DSOME,ASTRON,ASTRON,Privacy,No
62,DSTRON,?,Delete,NEITHER,DSTRON,DSOME,No,No,Alittle,Somewhat,DSOME,NEITHER,Yes,DSOME,ASOME,Registry,ASTRON,Small,DSTRON,ASOME,ASOME,Convenience,Yes
63,DSOME,ASOME,Delete,ASTRON,ASOME,DSTRON,Yes,No,Alittle,Alittle,DSOME,DSOME,Yes,DSTRON,DSOME,Fee,ASTRON,Significant,DSOME,ASTRON,ASTRON,Convenience,Yes
64,DSTRON,ASTRON,Reply,ASTRON,DSOME,DSTRON,No,Yes,Very,Somewhat,DSOME,ASTRON,Yes,DSTRON,ASTRON,Registry,ASTRON,Significant,DSOME,ASTRON,ASTRON,Privacy,Yes
65,DSTRON,ASTRON,Delete,DSTRON,DSTRON,ASOME,No,No,Very,Very,DSTRON,ASTRON,Yes,DSTRON,?,Registry,ASTRON,Significant,DSTRON,ASTRON,ASTRON,Privacy,Yes
66,DSOME,ASOME,Delete,ASTRON,NEITHER,DSTRON,No,No,Somewhat,Alittle,ASOME,ASOME,Yes,DSTRON,ASTRON,Blacklist,ASTRON,Significant,DSOME,ASOME,ASTRON,Privacy,Yes
67,DSOME,ASOME,Delete,ASTRON,DSTRON,DSTRON,No,Yes,Very,Very,ASOME,ASOME,No,DSTRON,NEITHER,Registry,ASTRON,Significant,DSTRON,ASTRON,ASOME,Privacy,No
68,DSTRON,NEITHER,Delete,DSTRON,DSOME,DSTRON,No,No,Very,Very,DSTRON,ASTRON,No,DSTRON,DSTRON,Registry,ASTRON,Significant,DSTRON,ASTRON,ASTRON,Privacy,Yes
69,DSTRON,ASTRON,Reply,DSTRON,DSTRON,DSTRON,No,No,Very,Very,ASOME,ASOME,Yes,DSTRON,ASOME,Blacklist,ASTRON,Deciding,DSTRON,ASTRON,ASTRON,Privacy,Yes
70,DSTRON,?,Delete,ASTRON,DSTRON,DSTRON,Yes,No,Very,Very,DSTRON,DSOME,No,DSTRON,DSOME,Registry,ASTRON,Deciding,DSTRON,ASTRON,NEITHER,Privacy,No
71,DSOME,?,Delete,NEITHER,DSTRON,DSTRON,Yes,No,Alittle,Somewhat,ASOME,ASOME,Yes,DSTRON,?,Registry,ASTRON,Significant,DSTRON,DSOME,ASTRON,Privacy,Yes
72,NEITHER,NEITHER,Other,ASTRON,DSOME,NEITHER,No,No,Alittle,Alittle,DSOME,ASTRON,Yes,DSOME,?,Registry,ASOME,Significant,ASOME,ASOME,ASTRON,Privacy,Yes
73,DSTRON,?,?,NEITHER,DSTRON,DSTRON,No,No,Alittle,Alittle,DSOME,NEITHER,Yes,DSTRON,DSTRON,Registry,ASTRON,Significant,DSTRON,ASTRON,DSTRON,Privacy,No
74,DSOME,ASOME,Delete,ASTRON,ASOME,ASTRON,No,No,Somewhat,Somewhat,ASTRON,NEITHER,Yes,ASOME,ASTRON,Registry,ASTRON,Significant,ASTRON,DSOME,ASTRON,Convenience,Yes
75,ASOME,NEITHER,Delete,ASTRON,DSTRON,NEITHER,No,Yes,ShouldButNo,Very,ASOME,ASTRON,Yes,NEITHER,ASTRON,Fee,ASTRON,Deciding,DSOME,ASTRON,ASTRON,Convenience,Yes
76,DSOME,NEITHER,Delete,ASTRON,DSTRON,DSTRON,No,No,Somewhat,Alittle,NEITHER,ASOME,Yes,DSTRON,DSOME,Fee,ASTRON,Significant,DSTRON,ASTRON,ASTRON,Privacy,No
77,DSTRON,ASTRON,Reply,ASOME,DSTRON,DSOME,No,No,Very,Very,ASOME,ASTRON,Yes,ASTRON,ASTRON,Other,ASTRON,Small,DSTRON,ASTRON,ASTRON,Convenience,Yes
78,DSTRON,ASOME,Read,?,DSTRON,ASOME,No,Yes,Very,Somewhat,ASOME,ASTRON,Yes,DSOME,NEITHER,Registry,ASTRON,Significant,DSTRON,ASTRON,ASTRON,Privacy,Yes
79,DSTRON,ASOME,Reply,DSOME,DSTRON,DSTRON,No,No,Alittle,NotAtAll,ASOME,DSTRON,Yes,DSTRON,DSOME,Other,ASTRON,None,DSTRON,ASTRON,ASTRON,Convenience,Yes
80,DSTRON,NEITHER,Delete,ASTRON,DSTRON,DSTRON,No,No,Somewhat,Somewhat,ASTRON,ASTRON,No,DSTRON,ASOME,Blacklist,ASTRON,Deciding,DSTRON,ASTRON,ASTRON,Privacy,Yes
81,DSTRON,ASTRON,Retaliate,ASTRON,ASOME,ASTRON,No,Yes,Very,Very,ASOME,ASTRON,Yes,NEITHER,ASTRON,Other,ASTRON,Deciding,ASOME,ASTRON,ASTRON,Privacy,Yes
82,DSTRON,ASTRON,Delete,ASTRON,DSTRON,DSTRON,No,No,Alittle,NotAtAll,DSTRON,ASTRON,Yes,DSTRON,ASTRON,Fee,ASTRON,Small,DSTRON,ASTRON,ASTRON,Convenience,Yes
83,DSOME,?,Delete,ASOME,DSOME,NEITHER,Yes,No,Very,Very,DSOME,ASTRON,Yes,NEITHER,DSOME,Blacklist,ASTRON,Deciding,ASTRON,ASOME,ASTRON,Convenience,No
84,DSTRON,?,Delete,?,ASOME,NEITHER,No,Yes,Somewhat,Somewhat,ASTRON,ASOME,Yes,DSOME,ASTRON,Blacklist,ASTRON,Significant,DSOME,ASTRON,ASTRON,Convenience,Yes
85,DSTRON,ASTRON,Delete,DSTRON,DSTRON,DSOME,Yes,Yes,Very,Somewhat,DSTRON,ASOME,Yes,DSOME,ASTRON,Blacklist,ASTRON,Deciding,DSTRON,ASTRON,ASTRON,Privacy,Yes
86,DSTRON,DSOME,Reply,NEITHER,DSOME,DSOME,No,No,Very,NotAtAll,ASOME,ASOME,No,DSTRON,ASOME,Blacklist,?,Small,DSTRON,ASTRON,ASOME,Privacy,No
87,DSTRON,NEITHER,Delete,ASTRON,DSTRON,DSTRON,No,Yes,Very,Very,ASOME,ASOME,Yes,DSTRON,NEITHER,Registry,ASTRON,Significant,DSTRON,ASTRON,NEITHER,Convenience,Yes
88,ASOME,NEITHER,Delete,DSOME,DSTRON,DSTRON,No,No,Somewhat,Alittle,ASOME,DSOME,Yes,DSTRON,ASTRON,Registry,ASTRON,Small,DSTRON,ASOME,ASTRON,Convenience,Yes
89,DSTRON,ASTRON,Delete,?,DSTRON,DSTRON,No,No,Very,ShouldButNo,DSTRON,ASTRON,No,DSTRON,ASOME,GovControl,ASTRON,Significant,DSTRON,ASTRON,ASTRON,Privacy,No
90,DSOME,ASOME,Delete,NEITHER,DSOME,DSTRON,No,No,Somewhat,Very,ASOME,NEITHER,No,DSTRON,NEITHER,Fee,ASTRON,Significant,ASOME,ASTRON,ASTRON,Convenience,No
91,DSTRON,ASTRON,Other,NEITHER,DSTRON,DSTRON,No,Yes,Very,Very,NEITHER,ASTRON,Yes,DSTRON,ASTRON,GovControl,ASTRON,Significant,DSTRON,DSTRON,ASTRON,Convenience,Yes
92,DSOME,ASOME,Reply,ASOME,DSTRON,DSTRON,No,No,Somewhat,Alittle,ASOME,ASOME,Yes,DSOME,ASOME,Blacklist,ASTRON,Deciding,DSTRON,ASTRON,ASTRON,Convenience,Yes
93,NEITHER,ASOME,Delete,NEITHER,NEITHER,NEITHER,No,No,Very,Very,ASOME,ASTRON,Yes,DSOME,ASOME,Fee,ASTRON,Significant,ASOME,ASOME,ASTRON,Privacy,Yes
94,DSOME,NEITHER,Delete,DSOME,DSOME,NEITHER,No,No,Somewhat,Very,ASOME,ASOME,Yes,DSTRON,NEITHER,Blacklist,ASTRON,Significant,NEITHER,ASTRON,ASTRON,Privacy,Yes
95,DSTRON,NEITHER,Delete,ASTRON,DSOME,DSOME,No,Yes,Very,Very,ASOME,ASOME,Yes,DSTRON,ASOME,Blacklist,ASTRON,Significant,DSTRON,ASTRON,ASTRON,Privacy,Yes
96,DSTRON,NEITHER,Delete,ASOME,DSTRON,DSTRON,No,No,Somewhat,Somewhat,ASOME,ASOME,Yes,DSTRON,DSOME,GovControl,ASOME,Significant,DSTRON,ASTRON,NEITHER,Convenience,Yes
97,DSOME,?,Delete,NEITHER,DSTRON,DSTRON,Yes,No,Alittle,Somewhat,ASTRON,ASTRON,Yes,DSTRON,ASTRON,Registry,ASTRON,Significant,DSTRON,ASTRON,ASTRON,Convenience,Yes
98,DSTRON,NEITHER,Reply,ASOME,DSTRON,DSTRON,No,No,ShouldButNo,Very,DSTRON,ASTRON,Yes,DSTRON,NEITHER,Blacklist,ASTRON,Deciding,DSTRON,ASTRON,NEITHER,Privacy,No
99,DSTRON,NEITHER,Delete,DSTRON,DSTRON,DSOME,Yes,No,Somewhat,Very,DSOME,DSTRON,Yes,DSOME,NEITHER,Nothing,ASOME,Significant,DSTRON,ASTRON,NEITHER,Convenience,Yes
100,DSTRON,ASTRON,?,ASOME,DSTRON,DSTRON,Yes,Yes,Very,Very,DSTRON,ASTRON,No,DSTRON,?,Registry,ASTRON,Deciding,DSTRON,ASTRON,ASOME,Privacy,No
101,DSTRON,?,Delete,ASTRON,DSTRON,DSTRON,No,No,Somewhat,Somewhat,DSTRON,ASOME,Yes,DSTRON,?,Registry,?,Deciding,DSTRON,ASTRON,ASTRON,Convenience,Yes
102,DSTRON,ASOME,Read,NEITHER,DSOME,ASOME,No,No,Somewhat,Somewhat,ASOME,DSOME,Yes,NEITHER,ASOME,Registry,ASOME,Small,ASOME,DSOME,ASTRON,Convenience,Yes
103,DSTRON,?,Other,?,DSTRON,DSTRON,No,No,Somewhat,Very,DSOME,?,No,DSTRON,ASTRON,Blacklist,ASTRON,Deciding,DSTRON,ASTRON,ASOME,Privacy,Yes
104,ASOME,ASOME,Delete,ASTRON,NEITHER,ASOME,No,No,Very,Very,NEITHER,ASOME,Yes,ASOME,ASOME,Blacklist,ASTRON,Significant,ASOME,NEITHER,ASTRON,Convenience,Yes
105,DSTRON,ASTRON,Delete,DSTRON,DSTRON,DSTRON,No,No,Very,Very,DSOME,ASTRON,No,DSTRON,ASTRON,GovControl,ASTRON,Deciding,DSTRON,ASTRON,ASTRON,Privacy,No
106,DSTRON,ASTRON,Delete,NEITHER,DSTRON,DSTRON,No,No,Very,Very,DSTRON,ASTRON,Yes,DSTRON,ASTRON,Fee,ASTRON,Significant,DSTRON,ASTRON,ASTRON,Privacy,Yes
107,DSOME,NEITHER,Delete,ASTRON,ASOME,DSOME,No,No,NotAtAll,NotAtAll,ASOME,NEITHER,Yes,DSOME,ASOME,Registry,ASOME,Small,NEITHER,ASTRON,NEITHER,Convenience,Yes
108,ASOME,NEITHER,Read,ASOME,DSOME,ASOME,No,Yes,Alittle,Alittle,ASOME,ASOME,Yes,NEITHER,ASOME,Nothing,ASOME,Small,DSOME,ASOME,NEITHER,Convenience,Yes
109,ASOME,?,Read,ASTRON,ASOME,ASOME,No,No,Somewhat,Somewhat,ASOME,DSTRON,No,ASOME,NEITHER,Nothing,ASOME,Deciding,ASOME,DSOME,ASTRON,Privacy,Yes
110,DSTRON,ASTRON,Retaliate,DSOME,DSTRON,DSTRON,Yes,No,Very,Very,DSTRON,ASTRON,No,DSTRON,ASTRON,GovControl,ASTRON,Significant,DSOME,ASTRON,ASTRON,Privacy,Yes
111,DSOME,ASTRON,Delete,DSTRON,DSTRON,DSOME,No,No,Alittle,Somewhat,ASOME,NEITHER,Yes,DSTRON,NEITHER,Blacklist,ASTRON,Significant,DSTRON,DSOME,ASTRON,Privacy,Yes
112,NEITHER,ASTRON,Delete,ASOME,DSOME,ASOME,Yes,No,Somewhat,Very,NEITHER,ASTRON,Yes,DSOME,ASOME,Registry,ASTRON,Deciding,NEITHER,ASTRON,ASTRON,Privacy,No
113,DSOME,ASOME,Delete,ASOME,DSTRON,DSOME,No,No,Very,Very,ASTRON,ASTRON,Yes,DSTRON,NEITHER,Registry,ASTRON,Significant,DSOME,ASTRON,ASOME,Privacy,Yes
114,DSTRON,NEITHER,Other,ASTRON,DSTRON,NEITHER,No,No,Very,Very,DSTRON,ASTRON,Yes,DSTRON,ASTRON,GovControl,ASTRON,Deciding,DSTRON,ASTRON,ASTRON,Privacy,Yes
115,DSTRON,NEITHER,?,ASTRON,DSOME,DSOME,Yes,No,Very,Very,ASOME,ASTRON,Yes,DSOME,?,Fee,ASOME,Deciding,DSOME,NEITHER,ASOME,Privacy,No
116,ASOME,?,Delete,DSTRON,DSTRON,DSTRON,No,Yes,Alittle,Very,ASTRON,DSOME,Yes,DSTRON,DSOME,Other,ASOME,Deciding,DSOME,ASTRON,ASOME,Privacy,No
117,DSTRON,ASTRON,Delete,ASTRON,DSTRON,DSTRON,No,No,Alittle,ShouldButNo,DSOME,ASOME,No,DSTRON,?,Fee,ASOME,Significant,DSTRON,ASTRON,?,Privacy,Yes
118,NEITHER,NEITHER,Delete,ASOME,DSOME,ASOME,Yes,No,Somewhat,Somewhat,ASOME,ASOME,Yes,DSTRON,ASTRON,GovControl,ASTRON,Significant,NEITHER,ASTRON,ASTRON,Convenience,Yes
119,NEITHER,ASTRON,?,ASOME,NEITHER,DSTRON,No,No,Very,Somewhat,ASTRON,ASTRON,Yes,DSTRON,DSOME,Registry,ASTRON,Significant,NEITHER,NEITHER,ASTRON,Privacy,Yes
120,DSTRON,ASOME,Reply,DSTRON,DSTRON,DSTRON,No,No,ShouldButNo,ShouldButNo,DSTRON,ASTRON,Yes,DSTRON,DSTRON,Registry,ASTRON,Small,DSTRON,ASTRON,ASTRON,Convenience,Yes
121,DSTRON,ASOME,Delete,ASOME,DSTRON,DSOME,No,No,Very,Very,DSOME,ASOME,Yes,DSTRON,ASOME,Registry,ASTRON,Significant,DSTRON,ASTRON,ASOME,Privacy,Yes
