This is part of the Online Privacy and Security dataset from the
Graphic, Visualization, & Usability Center's (GVU) 10th WWW User
Survey.  Please see the file GVU_Survey_Copyright_Notice for the
conditions under which this dataset can be used and/or distributed.


Advertising Networks,Anonymous Payment Systems,Attitudes Towards Spamming,Childrens Privacy,Content Providers have Right to Resell User Information,Direct Marketing,Had Credit Card Number Stolen,Have Unlisted Phone Number,How Concerned about Security,How Concerned about Security for ECommerce,Information about Users Improves Marketing of Site,Internet Privacy Laws,Internet Shopping and Banking Make Life Easier,Mass Emailings,Ought to be able to Assume Different Aliases/Roles on the Internet,Policies Towards Spamming,Privacy of Communications,Security a Factor in Online Business,Use of Demographic Information in Other Mediums,Users Ought to Have Complete Control of Demographic Info,Value Anonymous Nature of Internet,Which is More Important,Willing to Use Credit Card on Web
Agree Somewhat,Agree Somewhat,Delete,Neither Agree or Disagree,Disagree Somewhat,Disagree Strongly,No,No,A little,A little,Agree Strongly,Agree Somewhat,No,Disagree Strongly,Agree Strongly,Government Controls,Agree Strongly,A significant factor,Disagree Strongly,Disagree Somewhat,Agree Somewhat,Privacy,Yes
Agree Somewhat,Agree Somewhat,Delete,Agree Strongly,Disagree Somewhat,Agree Somewhat,No,No,Very,Very,Agree Strongly,Agree Somewhat,Yes,Neither Agree or Disagree,Disagree Strongly,Don't Know,Agree Strongly,A significant factor,Agree Somewhat,Agree Somewhat,Agree Strongly,Privacy,Yes
Disagree Somewhat,Neither Agree or Disagree,Delete,Agree Somewhat,Agree Somewhat,Disagree Somewhat,No,No,A little,Not at all,Agree Strongly,Agree Strongly,Yes,Disagree Strongly,Neither Agree or Disagree,Registry,Agree Strongly,A deciding factor,Agree Somewhat,Disagree Somewhat,Agree Somewhat,Convenience,Yes
Disagree Somewhat,Agree Somewhat,Read,Agree Strongly,Disagree Strongly,Disagree Somewhat,Yes,Yes,Very,Very,Neither Agree or Disagree,Agree Strongly,No,Disagree Strongly,Disagree Strongly,Don't Know,Agree Somewhat,A deciding factor,Disagree Somewhat,Agree Somewhat,Neither Agree or Disagree,Privacy,No
Disagree Strongly,Agree Strongly,Delete,Agree Somewhat,Disagree Strongly,Disagree Strongly,No,Yes,Very,Very,Agree Somewhat,Agree Strongly,Yes,Disagree Strongly,Agree Somewhat,Registry,Agree Strongly,A deciding factor,Disagree Strongly,Agree Strongly,Agree Somewhat,Privacy,No
Agree Somewhat,No Opinion,Delete,Agree Strongly,Disagree Strongly,Agree Somewhat,No,No,Somewhat,"Should be, but not",Agree Somewhat,Agree Strongly,Yes,Disagree Somewhat,No Opinion,Government Controls,Neither Agree or Disagree,A significant factor,Disagree Strongly,No Opinion,No Opinion,Privacy,Yes
Disagree Strongly,Disagree Strongly,Delete,Agree Somewhat,Disagree Somewhat,Disagree Strongly,Yes,No,Somewhat,A little,Disagree Strongly,Agree Strongly,Yes,Disagree Strongly,Neither Agree or Disagree,Blacklist,Agree Somewhat,A significant factor,Disagree Strongly,Agree Strongly,Agree Somewhat,Privacy,Yes
Disagree Strongly,Agree Somewhat,Reply,Agree Strongly,Disagree Strongly,Disagree Strongly,No,Yes,Very,Very,Agree Somewhat,Agree Somewhat,Yes,Disagree Strongly,Agree Somewhat,Registry,Agree Strongly,A significant factor,Disagree Strongly,Agree Strongly,Agree Strongly,Convenience,Yes
Disagree Somewhat,Agree Somewhat,Delete,Disagree Somewhat,Disagree Strongly,Disagree Somewhat,No,No,Very,Very,Disagree Strongly,Agree Strongly,Yes,Disagree Strongly,Agree Somewhat,Government Controls,Agree Strongly,A significant factor,Disagree Strongly,Disagree Strongly,Agree Somewhat,Privacy,Yes
Agree Somewhat,Agree Somewhat,Delete,Neither Agree or Disagree,Neither Agree or Disagree,Disagree Somewhat,No,No,"Should be, but not",Not at all,Agree Somewhat,Agree Strongly,Yes,Disagree Strongly,Agree Strongly,Nothing,Agree Strongly,A small factor,Disagree Somewhat,Agree Strongly,Agree Strongly,Privacy,No
Disagree Somewhat,No Opinion,Delete,Agree Strongly,Disagree Strongly,Disagree Somewhat,No,No,Somewhat,Somewhat,Agree Somewhat,Agree Somewhat,Yes,Disagree Somewhat,Agree Somewhat,Impact Fee,Agree Strongly,A significant factor,Disagree Strongly,Agree Strongly,Agree Strongly,Privacy,No
Disagree Strongly,No Opinion,Delete,Agree Strongly,Disagree Strongly,Disagree Strongly,No,Yes,Very,Very,Disagree Strongly,Agree Strongly,Yes,Disagree Strongly,Agree Strongly,Registry,Agree Strongly,A deciding factor,Disagree Strongly,Agree Strongly,Agree Strongly,Privacy,Yes
Disagree Strongly,Agree Strongly,Not App,Agree Somewhat,Disagree Strongly,Disagree Strongly,No,No,Very,Very,Disagree Strongly,Agree Strongly,Yes,Disagree Strongly,Agree Somewhat,Blacklist,Agree Strongly,A deciding factor,Disagree Strongly,Agree Strongly,Agree Strongly,Privacy,No
Neither Agree or Disagree,No Opinion,Delete,Agree Somewhat,Disagree Strongly,Neither Agree or Disagree,Yes,No,A little,A little,Agree Somewhat,Agree Strongly,Yes,Disagree Somewhat,No Opinion,Blacklist,Agree Strongly,Not a factor,Disagree Strongly,Agree Strongly,Agree Strongly,Privacy,Yes
Disagree Somewhat,Agree Strongly,Delete,Agree Somewhat,Disagree Somewhat,Disagree Somewhat,No,No,Very,Very,Agree Somewhat,Agree Somewhat,Yes,Disagree Strongly,Agree Somewhat,Blacklist,Agree Strongly,A deciding factor,Disagree Somewhat,Agree Strongly,Agree Somewhat,Privacy,Yes
Disagree Strongly,Agree Strongly,Delete,Agree Strongly,Disagree Somewhat,Disagree Strongly,No,No,Somewhat,Somewhat,Agree Strongly,Disagree Strongly,Yes,Disagree Strongly,Agree Strongly,Blacklist,Agree Strongly,A significant factor,Disagree Strongly,Agree Somewhat,Agree Strongly,Privacy,Yes
Disagree Somewhat,Agree Strongly,Read,Disagree Strongly,Disagree Somewhat,Agree Somewhat,No,No,Very,Very,Agree Strongly,Disagree Strongly,Yes,Agree Somewhat,Agree Strongly,Nothing,Agree Strongly,A significant factor,Disagree Somewhat,Agree Strongly,Agree Strongly,Convenience,No
Disagree Strongly,Agree Somewhat,Delete,Agree Strongly,Disagree Strongly,Disagree Strongly,Yes,No,Very,Very,Disagree Somewhat,Agree Somewhat,No,Disagree Strongly,Neither Agree or Disagree,Registry,Agree Strongly,A deciding factor,Disagree Strongly,Agree Strongly,Agree Strongly,Privacy,No
Disagree Strongly,Neither Agree or Disagree,Delete,Disagree Strongly,Disagree Strongly,Disagree Strongly,No,No,A little,Somewhat,Agree Strongly,Disagree Strongly,Yes,Disagree Strongly,Disagree Somewhat,Blacklist,Agree Strongly,A significant factor,Disagree Strongly,Agree Strongly,Agree Somewhat,Privacy,Yes
Disagree Strongly,Neither Agree or Disagree,Delete,Agree Strongly,Disagree Strongly,Disagree Strongly,Yes,Yes,Very,Very,Agree Somewhat,Agree Somewhat,Yes,Disagree Strongly,Agree Somewhat,Registry,Agree Strongly,A deciding factor,Disagree Strongly,Agree Somewhat,Agree Strongly,Privacy,Yes
Disagree Strongly,No Opinion,Not App,Agree Strongly,Disagree Strongly,Disagree Strongly,No,Yes,Very,Very,Disagree Somewhat,Agree Strongly,Yes,Disagree Strongly,Disagree Strongly,Registry,Agree Strongly,A deciding factor,Disagree Strongly,Neither Agree or Disagree,Disagree Strongly,Privacy,Yes
Disagree Strongly,Agree Strongly,Delete,Agree Strongly,Disagree Strongly,Disagree Strongly,No,No,Somewhat,Very,Agree Somewhat,Agree Somewhat,Yes,Disagree Strongly,Agree Somewhat,Blacklist,Agree Strongly,A significant factor,Disagree Somewhat,Agree Strongly,Agree Strongly,Privacy,No
Disagree Somewhat,Neither Agree or Disagree,Delete,Agree Somewhat,Disagree Somewhat,Neither Agree or Disagree,No,No,A little,Somewhat,Agree Somewhat,Agree Somewhat,Yes,Disagree Somewhat,Agree Somewhat,Blacklist,Agree Strongly,A small factor,Disagree Somewhat,Agree Somewhat,Agree Somewhat,Privacy,Yes
Disagree Strongly,Agree Strongly,Delete,Neither Agree or Disagree,Disagree Strongly,Disagree Strongly,No,No,Very,Very,Agree Somewhat,Agree Somewhat,Yes,Disagree Strongly,Neither Agree or Disagree,Government Controls,Agree Strongly,A deciding factor,Disagree Strongly,Agree Strongly,Agree Strongly,Privacy,Yes
Disagree Strongly,Agree Strongly,Reply,Disagree Strongly,Disagree Strongly,Disagree Strongly,No,Yes,Very,Very,Disagree Somewhat,Agree Strongly,Yes,Disagree Strongly,Disagree Strongly,Other,Agree Strongly,A deciding factor,Disagree Strongly,Agree Strongly,Agree Strongly,Privacy,No
Disagree Strongly,Agree Strongly,Delete,Agree Strongly,Disagree Strongly,Disagree Strongly,No,Yes,Very,Very,Neither Agree or Disagree,Disagree Strongly,Yes,Disagree Strongly,Agree Somewhat,Registry,Agree Strongly,A deciding factor,Disagree Strongly,Agree Strongly,Agree Strongly,Privacy,Yes
Disagree Strongly,Neither Agree or Disagree,Read,Agree Somewhat,Disagree Strongly,Disagree Somewhat,No,No,Very,Very,Agree Somewhat,Agree Strongly,Yes,Disagree Somewhat,Agree Somewhat,Nothing,Agree Strongly,A deciding factor,Agree Somewhat,Agree Strongly,Agree Strongly,Privacy,Yes
Disagree Strongly,Agree Somewhat,Delete,Agree Somewhat,Disagree Strongly,Agree Somewhat,No,No,Somewhat,Somewhat,Disagree Somewhat,Agree Somewhat,Yes,Disagree Strongly,Disagree Somewhat,Registry,Agree Strongly,A significant factor,Disagree Somewhat,Agree Strongly,Agree Strongly,Privacy,Yes
Disagree Strongly,Agree Strongly,Delete,Agree Strongly,Disagree Strongly,Disagree Strongly,No,Yes,Somewhat,Somewhat,Disagree Strongly,Agree Somewhat,Yes,Disagree Strongly,Disagree Strongly,Registry,Agree Strongly,A deciding factor,Disagree Strongly,Agree Strongly,Agree Strongly,Privacy,Yes
Disagree Strongly,Agree Somewhat,Delete,Disagree Somewhat,Disagree Strongly,Disagree Strongly,No,No,Very,Very,Disagree Somewhat,Agree Strongly,No,Disagree Strongly,No Opinion,Don't Know,Agree Strongly,A deciding factor,Disagree Strongly,Agree Strongly,No Opinion,Privacy,No
Disagree Strongly,Neither Agree or Disagree,Delete,Disagree Somewhat,Disagree Strongly,Neither Agree or Disagree,No,No,A little,Somewhat,Disagree Somewhat,Disagree Strongly,Yes,Neither Agree or Disagree,Agree Somewhat,Nothing,Agree Strongly,A small factor,Disagree Strongly,Agree Strongly,Neither Agree or Disagree,Privacy,Yes
Disagree Somewhat,Agree Somewhat,Delete,Disagree Strongly,Neither Agree or Disagree,Agree Somewhat,No,No,Very,Very,Agree Somewhat,Agree Somewhat,No,Neither Agree or Disagree,Agree Somewhat,Registry,Agree Strongly,A significant factor,Neither Agree or Disagree,Agree Strongly,Agree Strongly,Privacy,No
Disagree Strongly,Agree Strongly,Reply,Agree Somewhat,Neither Agree or Disagree,Disagree Somewhat,No,Yes,Very,Very,Agree Somewhat,Agree Somewhat,Yes,Disagree Strongly,Agree Somewhat,Nothing,Agree Strongly,A deciding factor,Agree Strongly,Agree Strongly,Agree Strongly,Privacy,Yes
Disagree Strongly,Disagree Somewhat,Delete,Agree Somewhat,Disagree Strongly,Disagree Strongly,Yes,No,Somewhat,Very,Agree Somewhat,Agree Strongly,No,Disagree Strongly,Agree Strongly,Impact Fee,Agree Strongly,A deciding factor,Disagree Strongly,Agree Strongly,Agree Strongly,Privacy,No
Disagree Strongly,Agree Somewhat,Delete,Agree Somewhat,Agree Strongly,Disagree Somewhat,No,No,A little,A little,Agree Somewhat,Agree Somewhat,Yes,Disagree Somewhat,Agree Strongly,Blacklist,Agree Strongly,A significant factor,Agree Strongly,Agree Strongly,Agree Strongly,Privacy,Yes
Disagree Strongly,No Opinion,Not App,Neither Agree or Disagree,Agree Somewhat,Neither Agree or Disagree,No,No,Somewhat,A little,Agree Somewhat,Agree Strongly,Yes,Neither Agree or Disagree,Agree Strongly,Other,Agree Strongly,A small factor,Agree Somewhat,Agree Strongly,Agree Strongly,Privacy,Yes
Disagree Somewhat,Neither Agree or Disagree,Delete,Agree Strongly,Disagree Strongly,Agree Somewhat,No,No,Very,Very,Agree Somewhat,Agree Strongly,No,Disagree Somewhat,Neither Agree or Disagree,Registry,Agree Strongly,A significant factor,Disagree Somewhat,Agree Strongly,Agree Somewhat,Convenience,No
Disagree Somewhat,Agree Strongly,Reply,Neither Agree or Disagree,Disagree Strongly,Disagree Somewhat,No,No,Somewhat,Somewhat,Agree Somewhat,Agree Strongly,Yes,Disagree Strongly,Agree Strongly,Blacklist,Agree Strongly,A significant factor,Disagree Strongly,Agree Strongly,Agree Strongly,Convenience,Yes
Disagree Strongly,Agree Strongly,Delete,Disagree Strongly,Disagree Strongly,Disagree Strongly,No,Yes,Very,Very,Disagree Strongly,Agree Strongly,Yes,Disagree Strongly,Agree Strongly,Impact Fee,Agree Strongly,A significant factor,Disagree Strongly,Agree Strongly,Agree Strongly,Privacy,Yes
Disagree Strongly,Disagree Strongly,Delete,Disagree Strongly,Disagree Strongly,Disagree Strongly,No,No,Very,Very,Neither Agree or Disagree,Agree Somewhat,No,Disagree Strongly,Agree Somewhat,Registry,Agree Strongly,A significant factor,Disagree Strongly,Agree Strongly,Agree Strongly,Privacy,Yes
Disagree Strongly,Agree Strongly,Delete,Neither Agree or Disagree,Disagree Strongly,Disagree Somewhat,No,No,Somewhat,Somewhat,Neither Agree or Disagree,Disagree Somewhat,Yes,Disagree Strongly,Agree Strongly,Blacklist,Agree Somewhat,A small factor,Disagree Somewhat,Agree Strongly,Agree Strongly,Privacy,Yes
Disagree Strongly,Neither Agree or Disagree,Delete,Agree Strongly,Disagree Strongly,Neither Agree or Disagree,No,No,Very,Very,Neither Agree or Disagree,Neither Agree or Disagree,Yes,Neither Agree or Disagree,Neither Agree or Disagree,Nothing,Agree Strongly,A deciding factor,Disagree Strongly,Agree Strongly,Agree Strongly,Privacy,Yes
Disagree Strongly,Agree Somewhat,Delete,Neither Agree or Disagree,Disagree Somewhat,Disagree Strongly,No,No,Somewhat,Somewhat,Agree Somewhat,Agree Somewhat,Yes,Disagree Strongly,Agree Strongly,Other,Agree Strongly,A significant factor,Disagree Somewhat,Agree Strongly,Agree Strongly,Privacy,Yes
Disagree Strongly,No Opinion,Read,Agree Strongly,Disagree Strongly,No Opinion,No,No,Somewhat,Very,Agree Somewhat,Agree Strongly,No,Disagree Strongly,Disagree Somewhat,Impact Fee,Agree Strongly,A deciding factor,Disagree Strongly,Agree Strongly,Agree Somewhat,Privacy,No
Disagree Strongly,Neither Agree or Disagree,Other,Disagree Strongly,Disagree Strongly,Disagree Strongly,No,No,Very,Very,Agree Strongly,Agree Strongly,Yes,Disagree Strongly,Agree Strongly,Government Controls,Agree Strongly,A significant factor,Disagree Strongly,Agree Strongly,Agree Strongly,Privacy,Yes
Neither Agree or Disagree,Agree Strongly,Not App,Agree Strongly,Disagree Somewhat,Disagree Strongly,Yes,No,Very,Somewhat,Agree Strongly,Agree Strongly,Yes,Disagree Strongly,Agree Somewhat,Blacklist,Agree Strongly,A significant factor,Disagree Somewhat,Agree Strongly,Agree Strongly,Privacy,Yes
Neither Agree or Disagree,Neither Agree or Disagree,Not App,Agree Strongly,Neither Agree or Disagree,Disagree Strongly,No,No,Somewhat,Very,Agree Somewhat,Disagree Strongly,Yes,Disagree Strongly,Neither Agree or Disagree,Other,Neither Agree or Disagree,A small factor,Disagree Somewhat,Neither Agree or Disagree,Agree Strongly,Convenience,Yes
Disagree Strongly,Agree Somewhat,Delete,Agree Strongly,Disagree Strongly,Disagree Strongly,Yes,Yes,Somewhat,Somewhat,Neither Agree or Disagree,No Opinion,Yes,Disagree Strongly,Agree Strongly,Blacklist,Agree Strongly,A significant factor,Disagree Strongly,Agree Strongly,Agree Strongly,Convenience,Yes
Disagree Strongly,Agree Strongly,Delete,Agree Somewhat,Disagree Strongly,Disagree Somewhat,No,No,Very,Very,Neither Agree or Disagree,Agree Strongly,Yes,Disagree Strongly,Agree Strongly,Blacklist,Agree Strongly,A deciding factor,Disagree Strongly,Agree Strongly,Agree Strongly,Privacy,Yes
Agree Somewhat,Agree Strongly,Delete,Agree Strongly,Disagree Strongly,Neither Agree or Disagree,No,No,Very,Very,Agree Somewhat,Agree Somewhat,Yes,Disagree Strongly,Neither Agree or Disagree,Blacklist,Neither Agree or Disagree,A small factor,Disagree Strongly,Neither Agree or Disagree,Agree Strongly,Privacy,No
Disagree Strongly,Agree Strongly,Delete,Agree Somewhat,Disagree Somewhat,Disagree Strongly,No,No,Somewhat,Very,Neither Agree or Disagree,Agree Somewhat,No,Disagree Strongly,Agree Strongly,Impact Fee,Agree Strongly,A significant factor,Disagree Somewhat,Agree Strongly,Agree Strongly,Privacy,No
Disagree Strongly,No Opinion,Delete,Neither Agree or Disagree,Disagree Strongly,Disagree Somewhat,No,No,A little,Somewhat,Disagree Somewhat,Neither Agree or Disagree,Yes,Disagree Somewhat,Agree Somewhat,Registry,Agree Strongly,A small factor,Disagree Strongly,Agree Somewhat,Agree Somewhat,Convenience,Yes
Disagree Somewhat,Agree Somewhat,Delete,Agree Strongly,Agree Somewhat,Disagree Strongly,Yes,No,A little,A little,Disagree Somewhat,Disagree Somewhat,Yes,Disagree Strongly,Disagree Somewhat,Impact Fee,Agree Strongly,A significant factor,Disagree Somewhat,Agree Strongly,Agree Strongly,Convenience,Yes
Disagree Strongly,Agree Strongly,Reply,Agree Strongly,Disagree Somewhat,Disagree Strongly,No,Yes,Very,Somewhat,Disagree Somewhat,Agree Strongly,Yes,Disagree Strongly,Agree Strongly,Registry,Agree Strongly,A significant factor,Disagree Somewhat,Agree Strongly,Agree Strongly,Privacy,Yes
Disagree Strongly,Agree Strongly,Delete,Disagree Strongly,Disagree Strongly,Agree Somewhat,No,No,Very,Very,Disagree Strongly,Agree Strongly,Yes,Disagree Strongly,No Opinion,Registry,Agree Strongly,A significant factor,Disagree Strongly,Agree Strongly,Agree Strongly,Privacy,Yes
Disagree Somewhat,Agree Somewhat,Delete,Agree Strongly,Neither Agree or Disagree,Disagree Strongly,No,No,Somewhat,A little,Agree Somewhat,Agree Somewhat,Yes,Disagree Strongly,Agree Strongly,Blacklist,Agree Strongly,A significant factor,Disagree Somewhat,Agree Somewhat,Agree Strongly,Privacy,Yes
Disagree Somewhat,Agree Somewhat,Delete,Agree Strongly,Disagree Strongly,Disagree Strongly,No,Yes,Very,Very,Agree Somewhat,Agree Somewhat,No,Disagree Strongly,Neither Agree or Disagree,Registry,Agree Strongly,A significant factor,Disagree Strongly,Agree Strongly,Agree Somewhat,Privacy,No
Disagree Strongly,Neither Agree or Disagree,Delete,Disagree Strongly,Disagree Somewhat,Disagree Strongly,No,No,Very,Very,Disagree Strongly,Agree Strongly,No,Disagree Strongly,Disagree Strongly,Registry,Agree Strongly,A significant factor,Disagree Strongly,Agree Strongly,Agree Strongly,Privacy,Yes
Disagree Strongly,Agree Strongly,Reply,Disagree Strongly,Disagree Strongly,Disagree Strongly,No,No,Very,Very,Agree Somewhat,Agree Somewhat,Yes,Disagree Strongly,Agree Somewhat,Blacklist,Agree Strongly,A deciding factor,Disagree Strongly,Agree Strongly,Agree Strongly,Privacy,Yes
Disagree Strongly,No Opinion,Delete,Agree Strongly,Disagree Strongly,Disagree Strongly,Yes,No,Very,Very,Disagree Strongly,Disagree Somewhat,No,Disagree Strongly,Disagree Somewhat,Registry,Agree Strongly,A deciding factor,Disagree Strongly,Agree Strongly,Neither Agree or Disagree,Privacy,No
Disagree Somewhat,No Opinion,Delete,Neither Agree or Disagree,Disagree Strongly,Disagree Strongly,Yes,No,A little,Somewhat,Agree Somewhat,Agree Somewhat,Yes,Disagree Strongly,No Opinion,Registry,Agree Strongly,A significant factor,Disagree Strongly,Disagree Somewhat,Agree Strongly,Privacy,Yes
Neither Agree or Disagree,Neither Agree or Disagree,Other,Agree Strongly,Disagree Somewhat,Neither Agree or Disagree,No,No,A little,A little,Disagree Somewhat,Agree Strongly,Yes,Disagree Somewhat,No Opinion,Registry,Agree Somewhat,A significant factor,Agree Somewhat,Agree Somewhat,Agree Strongly,Privacy,Yes
Disagree Strongly,No Opinion,Not App,Neither Agree or Disagree,Disagree Strongly,Disagree Strongly,No,No,A little,A little,Disagree Somewhat,Neither Agree or Disagree,Yes,Disagree Strongly,Disagree Strongly,Registry,Agree Strongly,A significant factor,Disagree Strongly,Agree Strongly,Disagree Strongly,Privacy,No
Disagree Somewhat,Agree Somewhat,Delete,Agree Strongly,Agree Somewhat,Agree Strongly,No,No,Somewhat,Somewhat,Agree Strongly,Neither Agree or Disagree,Yes,Agree Somewhat,Agree Strongly,Registry,Agree Strongly,A significant factor,Agree Strongly,Disagree Somewhat,Agree Strongly,Convenience,Yes
Agree Somewhat,Neither Agree or Disagree,Delete,Agree Strongly,Disagree Strongly,Neither Agree or Disagree,No,Yes,"Should be, but not",Very,Agree Somewhat,Agree Strongly,Yes,Neither Agree or Disagree,Agree Strongly,Impact Fee,Agree Strongly,A deciding factor,Disagree Somewhat,Agree Strongly,Agree Strongly,Convenience,Yes
Disagree Somewhat,Neither Agree or Disagree,Delete,Agree Strongly,Disagree Strongly,Disagree Strongly,No,No,Somewhat,A little,Neither Agree or Disagree,Agree Somewhat,Yes,Disagree Strongly,Disagree Somewhat,Impact Fee,Agree Strongly,A significant factor,Disagree Strongly,Agree Strongly,Agree Strongly,Privacy,No
Disagree Strongly,Agree Strongly,Reply,Agree Somewhat,Disagree Strongly,Disagree Somewhat,No,No,Very,Very,Agree Somewhat,Agree Strongly,Yes,Agree Strongly,Agree Strongly,Other,Agree Strongly,A small factor,Disagree Strongly,Agree Strongly,Agree Strongly,Convenience,Yes
Disagree Strongly,Agree Somewhat,Read,No Opinion,Disagree Strongly,Agree Somewhat,No,Yes,Very,Somewhat,Agree Somewhat,Agree Strongly,Yes,Disagree Somewhat,Neither Agree or Disagree,Registry,Agree Strongly,A significant factor,Disagree Strongly,Agree Strongly,Agree Strongly,Privacy,Yes
Disagree Strongly,Agree Somewhat,Reply,Disagree Somewhat,Disagree Strongly,Disagree Strongly,No,No,A little,Not at all,Agree Somewhat,Disagree Strongly,Yes,Disagree Strongly,Disagree Somewhat,Other,Agree Strongly,Not a factor,Disagree Strongly,Agree Strongly,Agree Strongly,Convenience,Yes
Disagree Strongly,Neither Agree or Disagree,Delete,Agree Strongly,Disagree Strongly,Disagree Strongly,No,No,Somewhat,Somewhat,Agree Strongly,Agree Strongly,No,Disagree Strongly,Agree Somewhat,Blacklist,Agree Strongly,A deciding factor,Disagree Strongly,Agree Strongly,Agree Strongly,Privacy,Yes
Disagree Strongly,Agree Strongly,Retaliate,Agree Strongly,Agree Somewhat,Agree Strongly,No,Yes,Very,Very,Agree Somewhat,Agree Strongly,Yes,Neither Agree or Disagree,Agree Strongly,Other,Agree Strongly,A deciding factor,Agree Somewhat,Agree Strongly,Agree Strongly,Privacy,Yes
Disagree Strongly,Agree Strongly,Delete,Agree Strongly,Disagree Strongly,Disagree Strongly,No,No,A little,Not at all,Disagree Strongly,Agree Strongly,Yes,Disagree Strongly,Agree Strongly,Impact Fee,Agree Strongly,A small factor,Disagree Strongly,Agree Strongly,Agree Strongly,Convenience,Yes
Disagree Somewhat,No Opinion,Delete,Agree Somewhat,Disagree Somewhat,Neither Agree or Disagree,Yes,No,Very,Very,Disagree Somewhat,Agree Strongly,Yes,Neither Agree or Disagree,Disagree Somewhat,Blacklist,Agree Strongly,A deciding factor,Agree Strongly,Agree Somewhat,Agree Strongly,Convenience,No
Disagree Strongly,No Opinion,Delete,No Opinion,Agree Somewhat,Neither Agree or Disagree,No,Yes,Somewhat,Somewhat,Agree Strongly,Agree Somewhat,Yes,Disagree Somewhat,Agree Strongly,Blacklist,Agree Strongly,A significant factor,Disagree Somewhat,Agree Strongly,Agree Strongly,Convenience,Yes
